Gene	EAGLE Annotation	Current SFARI Score	Existing ClinGen curation	Concordance 	Definitive ClinGen Classification with ASD features 
AHDC1	Definitive (score=14.25)	Score 1S	"Definitive: AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 11/16/2021]"	Concordant	Yes
ARHGEF9	Definitive (score=14.2)	Score 1S	"Moderate: X-linked Complex NDD (X-linked) [Intellectual Disability and Autism GCEP, 11/21/2019]"	Concordant	Yes
ASH1L	Definitive (score=14.15)	Score 1	"Definitive: syndromic complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 02/23/2023]"	Concordant	Yes
KMT2C	Definitive (score=14.1)	Score 1S	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/02/2022]"	Concordant	Yes
KMT5B	Definitive (score=14.05)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Syndromic Disorders GCEP, 04/08/2022]"	Concordant	Yes
MSL3	Strong (score=13.9)	Score 1S	"Definitive: Basilicata-Akhtar syndrome (X-linked) [Intellectual Disability and Autism GCEP, 01/18/2022]"	Concordant	No
ARX	Definitive (score=13.8)	Score 1S	"Definitive: Developmental and Epileptic Encephalopathy (X-linked) [Epilepsy GCEP, 06/04/2019]

Definitive: X-linked Complex NDD (X-linked) [Intellectual Disability and Autism GCEP, 12/01/2020]"	Concordant	No
CNTN6	LoF curation: Definitive  (score=13.8); 	Score 2	"Disputed: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/20/2022]"	Discordant	Yes
CNTN6	Duplication curation: Limited (score=1) 	Score 2	"Disputed: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/20/2022]"	Discordant	Yes
KDM6B	Definitive (score=13.75)	Score 1	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 01/19/2022]

Limited: Syndromic intellectual disability (autosomal recessive) [Intellectual Disability and Autism GCEP, 02/18/2022]"	Concordant	Yes
DSCAM	Definitive (score=13.5)	Score 1	NA	Concordant	NA
TCF4	Definitive (score=13.5)	Score 1S	"Definitive: Pitt-Hopkins syndrome (autosomal dominant) [Rett and Angelman-like Disorders GCEP, 05/02/2018]"	Concordant	Yes
EHMT1	Definitive (score=13.5)	Score 1S	"Definitive: Kleefstra syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 06/07/2018]"	Concordant	Yes
DYNC1H1	Definitive (score=13.45)	Score 1	"Definitive: neuronopathy, distal hereditary motor (autosomal dominant) [Charcot-Marie-Tooth GCEP, 07/12/2023]"	Concordant	No
TLK2	Definitive (score=13.25)	Score 1S	NA	Concordant	NA
BRAF	Definitive (score=13.05)	Score 1S	"Definitive: Cardiofaciocutaneous syndrome (autosomal dominant) [RASopathy GCEP, 07/24/2018]

Moderate: Noonan syndrome (autosomal dominant) [RASopathy GCEP, 07/24/2018]

Limited: Noonan syndrome with multiple lentigines (autosomal dominant) [RASopathy GCEP, 07/24/2018]"	Concordant	Yes
CACNA1D	Definitive (score=12.7)	Score 2	"Moderate: Sinoatrial node dysfunction and deafness (autosomal recessive) [Hearing Loss GCEP, 05/01/2018]"	Discordant	Yes
RAI1	Definitive (score=12.25)	Score 1S	"Definitive: Smith-Magenis syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/05/2018]"	Concordant	Yes
GRIA2	Definitive (score=12)	Score 1	"Definitive: Neurodevelopmental disorder with language impairment and behavioral abnormalities (autosomal dominant) [Syndromic Disorders GCEP, 05/30/2023]"	Concordant	Yes
NLGN4X	Definitive (score=12)	Score 1	"Definitive: X-linked Complex NDD (X-linked) [Intellectual Disability and Autism GCEP, 08/01/2018]"	Concordant	Yes
RIMS1	Moderate (score=11.35)	Score 1	NA	Discordant	NA
